                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2737,                 1.2468,                 1.3095,                0.65847,                0.20001,                0.21708,                0.12287,                 1.5305,                 1.6704,                 1.3476,             0.00050118,             0.00050118,             0.00050118
                     35,                 1.1896,                 1.1445,                  1.274,                0.65647,                0.18448,                0.21032,                0.11617,                 1.5682,                 1.7538,                 1.3979,             0.00050856,             0.00050856,             0.00050856
                     36,                  1.171,                 1.2109,                 1.2436,                0.64628,                0.18276,                0.20716,                0.11498,                 1.5435,                 1.8504,                  1.414,             0.00051549,             0.00051549,             0.00051549
                     37,                 1.2071,                 1.2048,                 1.2687,                0.65595,                0.18621,                0.21056,                0.12098,                 1.4829,                 1.7312,                 1.3587,             0.00052198,             0.00052198,             0.00052198
                     38,                 1.1802,                 1.1678,                 1.2547,                0.65631,                0.18408,                0.20701,                0.11575,                 1.5338,                  1.738,                 1.3595,             0.00052803,             0.00052803,             0.00052803
                     39,                 1.1866,                 1.1952,                 1.2538,                0.66191,                0.18621,                0.20774,                0.11474,                 1.5684,                 1.7679,                 1.3841,             0.00053364,             0.00053364,             0.00053364
                     40,                 1.1394,                  1.168,                 1.2396,                0.66168,                0.18276,                0.21156,                0.11815,                 1.5489,                 1.7877,                 1.3575,             0.00053881,             0.00053881,             0.00053881
                     41,                 1.1605,                 1.1209,                  1.226,                0.66801,                0.18103,                0.21872,                0.12497,                 1.5482,                 1.7714,                 1.3495,             0.00054355,             0.00054355,             0.00054355
                     42,                  1.126,                  1.165,                 1.2244,                0.66381,                0.18103,                 0.2211,                0.13063,                 1.5181,                 1.7147,                  1.337,             0.00054784,             0.00054784,             0.00054784
                     43,                 1.1057,                 1.1055,                 1.1983,                0.65647,                0.19138,                0.21875,                0.13122,                 1.5011,                 1.6667,                 1.3405,             0.00055169,             0.00055169,             0.00055169
                     44,                 1.1177,                 1.0872,                 1.2165,                0.65925,                 0.1931,                0.21972,                0.12756,                 1.5284,                 1.6874,                 1.3644,              0.0005551,              0.0005551,              0.0005551
                     45,                 1.1213,                 1.0774,                 1.2357,                0.66923,                0.18786,                 0.2148,                0.11903,                 1.5742,                 1.8131,                 1.4044,             0.00055807,             0.00055807,             0.00055807
                     46,                 1.0467,                 1.0349,                 1.1752,                0.66794,                0.16937,                0.21372,                0.11877,                 1.5865,                 1.9319,                 1.4222,             0.00056061,             0.00056061,             0.00056061
                     47,                 1.1189,                 1.1307,                 1.2288,                0.66514,                0.16552,                0.21104,                0.11742,                 1.5727,                 1.9905,                 1.4137,              0.0005627,              0.0005627,              0.0005627
                     48,                  1.128,                 1.0822,                 1.2209,                0.65589,                 0.1628,                0.20122,                0.10777,                 1.6603,                 1.9682,                 1.4632,             0.00056435,             0.00056435,             0.00056435
                     49,                 1.0962,                 1.0736,                 1.1834,                0.66093,                0.15862,                0.18404,                0.09106,                 1.8569,                 1.9906,                 1.6153,             0.00056556,             0.00056556,             0.00056556
                     50,                 1.0834,                 1.0894,                 1.1761,                0.65045,                0.15517,                0.18366,                0.08976,                 1.8847,                  1.933,                 1.6374,             0.00056633,             0.00056633,             0.00056633
                     51,                 1.0859,                  1.061,                 1.1812,                0.64535,                0.16284,                0.19904,                0.10727,                 1.7069,                 1.8276,                 1.4997,             0.00056105,             0.00056105,             0.00056105
                     52,                 1.0683,                 1.0393,                 1.1692,                0.66906,                0.21063,                0.22401,                0.12356,                 1.6176,                 1.7787,                 1.4346,             0.00056105,             0.00056105,             0.00056105
                     53,                 1.0498,                 1.0359,                 1.1715,                 0.4235,                0.20201,                0.23478,                0.13142,                 1.5834,                 1.8005,                 1.4129,             0.00055006,             0.00055006,             0.00055006
                     54,                 1.0783,                 1.0395,                 1.1989,                0.58422,                0.36172,                0.26388,                0.15419,                 1.5596,                 1.8724,                 1.3963,             0.00053906,             0.00053906,             0.00053906
                     55,                  1.062,                 1.0513,                 1.1823,                0.49148,                0.36695,                0.27923,                0.15959,                  1.544,                 1.8832,                 1.3952,             0.00052806,             0.00052806,             0.00052806
                     56,                 1.0326,                0.99792,                 1.1552,                 0.4842,                 0.3704,                0.29113,                0.16562,                 1.5551,                 1.9008,                 1.4049,             0.00051706,             0.00051706,             0.00051706
                     57,                 1.0438,                0.99043,                 1.1604,                0.48791,                0.30991,                0.28416,                0.17004,                  1.536,                 1.9854,                 1.4036,             0.00050606,             0.00050606,             0.00050606
                     58,                 1.0242,                0.94414,                 1.1478,                 0.7391,                0.25781,                0.29483,                0.18363,                 1.5217,                  2.039,                 1.4064,             0.00049506,             0.00049506,             0.00049506
                     59,                 1.0705,                 0.9683,                 1.1733,                0.21723,                0.35245,                 0.2759,                0.17614,                 1.5253,                  2.077,                 1.4123,             0.00048406,             0.00048406,             0.00048406
                     60,                 1.0569,                0.95857,                 1.1474,                 0.2112,                0.35316,                0.27798,                0.17487,                 1.5228,                 2.0817,                 1.4187,             0.00047306,             0.00047306,             0.00047306
                     61,                 1.0077,                0.94116,                 1.1289,                0.22804,                0.46688,                0.26619,                0.16198,                 1.5378,                 2.1237,                 1.4354,             0.00046206,             0.00046206,             0.00046206
                     62,                0.98222,                0.93567,                 1.1371,                0.22844,                0.51331,                0.26372,                 0.1546,                 1.5724,                 2.1199,                 1.4613,             0.00045107,             0.00045107,             0.00045107
                     63,                0.98115,                0.91413,                 1.1184,                0.25614,                0.56377,                 0.2702,                0.16155,                 1.5359,                 2.0361,                 1.4307,             0.00044007,             0.00044007,             0.00044007
                     64,                 1.0019,                0.93839,                 1.1337,                0.26512,                0.57529,                0.26775,                0.15807,                 1.5373,                   1.95,                  1.444,             0.00042907,             0.00042907,             0.00042907
                     65,                0.96102,                0.88548,                 1.1159,                 0.2536,                0.45374,                0.27221,                0.16201,                 1.5425,                 1.8623,                 1.4582,             0.00041807,             0.00041807,             0.00041807
                     66,                0.96228,                0.88377,                 1.1122,                0.29186,                0.58736,                0.28286,                0.16562,                 1.5285,                 1.7689,                 1.4518,             0.00040707,             0.00040707,             0.00040707
                     67,                0.98961,                0.88582,                  1.133,                0.29931,                0.59598,                0.28794,                0.17062,                 1.5293,                 1.6619,                 1.4499,             0.00039607,             0.00039607,             0.00039607
                     68,                0.99426,                0.90076,                 1.1377,                0.27621,                  0.538,                0.27635,                0.17279,                 1.5374,                 1.6037,                 1.4412,             0.00038507,             0.00038507,             0.00038507
                     69,                0.97393,                0.88232,                  1.104,                0.26107,                0.40508,                0.27517,                0.17107,                 1.5389,                 1.5745,                   1.45,             0.00037407,             0.00037407,             0.00037407
                     70,                0.96344,                0.85373,                 1.1113,                0.28235,                0.39023,                0.28092,                0.16957,                  1.532,                 1.6038,                 1.4415,             0.00036307,             0.00036307,             0.00036307
                     71,                0.92898,                0.86822,                 1.0919,                0.28061,                0.34844,                0.28234,                0.16982,                 1.5548,                 1.6127,                 1.4401,             0.00035208,             0.00035208,             0.00035208
                     72,                0.97119,                0.84618,                 1.0973,                0.28099,                  0.244,                0.31591,                0.18867,                 1.5799,                 1.6006,                 1.4496,             0.00034108,             0.00034108,             0.00034108
                     73,                 0.9288,                0.85435,                 1.0913,                0.39964,                0.22443,                0.32305,                0.20267,                 1.5705,                 1.5832,                 1.4511,             0.00033008,             0.00033008,             0.00033008
                     74,                0.94594,                0.85175,                 1.0949,                0.38446,                 0.2255,                0.30945,                0.19033,                 1.5924,                 1.5726,                 1.4743,             0.00031908,             0.00031908,             0.00031908
                     75,                0.96084,                0.84136,                 1.1291,                0.41244,                0.17931,                0.32862,                0.20849,                 1.5796,                 1.5762,                 1.4672,             0.00030808,             0.00030808,             0.00030808
                     76,                0.91874,                0.79961,                 1.0767,                0.67015,                0.17414,                0.31712,                0.19962,                 1.5762,                 1.6043,                 1.4688,             0.00029708,             0.00029708,             0.00029708
                     77,                0.91681,                0.80264,                 1.0842,                0.67519,                0.17759,                0.29629,                0.17528,                  1.594,                 1.6217,                 1.4884,             0.00028608,             0.00028608,             0.00028608
                     78,                0.91085,                 0.8118,                 1.0811,                0.67355,                0.18004,                0.29788,                0.16854,                  1.637,                 1.6142,                 1.5331,             0.00027508,             0.00027508,             0.00027508
                     79,                0.90236,                0.77536,                 1.0741,                0.66927,                0.18103,                0.30254,                0.16595,                 1.6357,                 1.5696,                 1.5497,             0.00026408,             0.00026408,             0.00026408
