                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7925,                 3.9991,                 1.8358,                0.00486,                0.24109,                0.00695,                0.00221,                 1.3629,                 3.8988,                 1.6845,              4.444e-05,              4.444e-05,              4.444e-05
                      2,                 1.5677,                 3.8166,                 1.6372,                0.00939,                 0.6113,                0.05164,                0.02287,                  1.194,                 3.7776,                 1.4525,             9.0091e-05,             9.0091e-05,             9.0091e-05
                      3,                 1.4618,                 3.3034,                 1.4547,                0.01629,                 0.7437,                0.12659,                0.06634,                 1.2173,                 3.4013,                 1.2603,             0.00012474,             0.00012474,             0.00012474
                      4,                 1.4235,                 2.6118,                  1.335,                0.01808,                0.75587,                0.16123,                0.08706,                 1.2074,                  3.173,                 1.1796,              0.0001484,              0.0001484,              0.0001484
                      5,                 1.4004,                 2.3607,                 1.2879,                0.01877,                0.88783,                0.18333,                0.09853,                 1.1941,                 2.9649,                 1.1581,             0.00016105,             0.00016105,             0.00016105
                      6,                 1.3365,                 2.0878,                 1.2435,                0.01929,                0.89652,                0.18905,                0.10283,                 1.2305,                 2.8291,                 1.1409,             0.00016271,             0.00016271,             0.00016271
                      7,                 1.3711,                 2.0595,                 1.2913,                0.01895,                0.89478,                0.19375,                0.10951,                 1.2276,                 2.6685,                 1.1265,             0.00015336,             0.00015336,             0.00015336
                      8,                 1.2705,                 2.0205,                 1.2171,                0.66323,                0.17913,                0.19395,                0.10981,                 1.2283,                 2.5493,                 1.1277,             0.00013302,             0.00013302,             0.00013302
                      9,                 1.2243,                 2.0158,                 1.1821,                0.94092,                0.10261,                0.19549,                0.11149,                 1.2373,                 2.4146,                 1.1258,             0.00010168,             0.00010168,             0.00010168
                     10,                 1.1891,                 2.1021,                 1.1805,                 0.9404,                0.10435,                0.18084,                0.10507,                 1.2428,                 2.3428,                 1.1154,             5.9339e-05,             5.9339e-05,             5.9339e-05
