                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2405,                 4.3413,                 1.9139,                      0,                      0,                      0,                      0,                 1.7191,                 4.2466,                 1.6519,              4.444e-05,              4.444e-05,              4.444e-05
                      2,                 1.8426,                 4.2223,                 1.6219,                      0,                      0,                      0,                      0,                 1.5963,                 4.0542,                 1.3723,                9.9e-05,                9.9e-05,                9.9e-05
                      3,                 1.6592,                 3.9275,                 1.4753,                0.00337,                0.04856,                0.00433,                0.00124,                 1.5452,                 3.8858,                   1.24,             0.00015246,             0.00015246,             0.00015246
                      4,                 1.6045,                 3.5835,                  1.399,                0.04107,                0.15862,                0.03519,                0.01738,                 1.5329,                 3.8026,                 1.2555,             0.00020482,             0.00020482,             0.00020482
                      5,                 1.6026,                 3.2817,                 1.3668,                0.03986,                0.33879,                0.11552,                0.05797,                 1.5811,                 3.5712,                 1.3014,             0.00025608,             0.00025608,             0.00025608
                      6,                 1.5766,                 2.9725,                 1.3548,                0.03365,                0.34052,                0.15184,                0.07385,                 1.6153,                 3.3356,                 1.3372,             0.00030624,             0.00030624,             0.00030624
                      7,                  1.624,                  2.668,                 1.3466,                0.92987,                0.10614,                0.16533,                0.08772,                 1.6344,                 2.8901,                 1.3252,              0.0003553,              0.0003553,              0.0003553
                      8,                 1.6226,                 2.4545,                 1.3657,                0.92453,                0.13956,                0.17562,                0.09698,                 1.6199,                 2.6975,                 1.2801,             0.00040326,             0.00040326,             0.00040326
                      9,                  1.592,                 2.2244,                 1.3392,                0.91373,                0.14725,                0.20715,                0.11641,                 1.8356,                  2.697,                 1.3828,             0.00045012,             0.00045012,             0.00045012
                     10,                 1.5478,                 2.1602,                 1.2816,                0.91507,                0.16552,                0.21617,                0.11712,                 1.7445,                 2.5837,                  1.328,             0.00049588,             0.00049588,             0.00049588
                     11,                 1.5983,                 2.0365,                 1.2979,                0.91755,                0.17868,                0.18647,                 0.0937,                 1.6707,                 2.4313,                 1.2535,             0.00054055,             0.00054055,             0.00054055
