                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7141,                 3.9562,                 1.8463,                0.00535,                0.27304,                0.00796,                 0.0027,                 1.3631,                 3.8831,                 1.6716,              4.444e-05,              4.444e-05,              4.444e-05
                      2,                 1.5456,                 3.9088,                 1.6804,                0.00934,                0.64326,                0.05448,                0.02291,                 1.1671,                 3.7749,                 1.4357,             8.0192e-05,             8.0192e-05,             8.0192e-05
                      3,                 1.3813,                 3.5626,                 1.4661,                0.01308,                0.82109,                0.10336,                0.05074,                 1.1858,                 3.5593,                 1.3214,             9.3946e-05,             9.3946e-05,             9.3946e-05
                      4,                 1.4321,                 3.1636,                 1.4453,                0.01486,                0.83152,                0.11607,                0.06286,                 1.1678,                 3.4413,                   1.26,             8.5703e-05,             8.5703e-05,             8.5703e-05
                      5,                 1.3966,                 2.9011,                 1.4154,                0.01799,                0.84196,                0.11897,                0.06603,                 1.1793,                 3.3299,                 1.2406,             5.5461e-05,             5.5461e-05,             5.5461e-05
