                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7141,                 3.9562,                 1.8463,                0.00535,                0.27304,                0.00796,                 0.0027,                 1.3631,                 3.8831,                 1.6716,              4.444e-05,              4.444e-05,              4.444e-05
                      2,                  1.533,                 3.8893,                 1.6642,                0.00989,                0.67348,                0.05941,                0.02494,                 1.1798,                 3.7443,                 1.4237,              9.504e-05,              9.504e-05,              9.504e-05
                      3,                 1.3629,                 3.4382,                 1.4308,                0.01463,                   0.81,                0.11742,                0.06227,                 1.1787,                 3.4485,                 1.2701,             0.00014014,             0.00014014,             0.00014014
                      4,                 1.4489,                 2.8674,                 1.4281,                0.01826,                0.87217,                0.12663,                0.07146,                 1.1878,                 3.2451,                  1.231,             0.00017974,             0.00017974,             0.00017974
                      5,                 1.3431,                 2.4745,                   1.36,                 0.0244,                0.88957,                0.14764,                0.08384,                 1.2745,                 2.9371,                 1.2635,             0.00021385,             0.00021385,             0.00021385
                      6,                 1.4113,                 2.3685,                 1.4202,                0.88557,                   0.16,                0.15299,                 0.0873,                 1.2929,                 2.7531,                 1.2424,             0.00024245,             0.00024245,             0.00024245
                      7,                 1.3649,                 1.9888,                 1.3604,                0.90983,                0.12498,                0.17131,                0.10071,                 1.3517,                 2.4838,                 1.2026,             0.00026555,             0.00026555,             0.00026555
                      8,                 1.3291,                 2.0896,                  1.323,                  0.908,                0.14435,                0.16217,                0.10174,                 1.3034,                 2.2099,                 1.2152,             0.00028316,             0.00028316,             0.00028316
                      9,                 1.3381,                 1.9494,                 1.3367,                0.72208,                0.18209,                0.15497,                0.09362,                 1.4091,                 1.9865,                 1.2847,             0.00029526,             0.00029526,             0.00029526
                     10,                 1.2603,                 1.9489,                  1.286,                0.71845,                0.22978,                0.15258,                 0.0953,                 1.3816,                 1.9056,                 1.2643,             0.00030186,             0.00030186,             0.00030186
                     11,                 1.3151,                  1.947,                 1.2208,                0.70689,                 0.1763,                0.14947,                0.09082,                 1.3896,                 2.0143,                 1.3009,             0.00030297,             0.00030297,             0.00030297
                     12,                 1.1977,                 2.0208,                 1.1909,                0.69112,                0.15478,                0.13512,                0.07576,                 1.4269,                 2.0329,                 1.3511,             0.00029858,             0.00029858,             0.00029858
                     13,                 1.2277,                 1.9043,                 1.2344,                0.71532,                0.12348,                0.14368,                0.08025,                 1.4256,                 1.9135,                 1.3354,             0.00028868,             0.00028868,             0.00028868
                     14,                    1.2,                 1.8469,                 1.2059,                0.70702,                0.14261,                0.15806,                0.09412,                 1.3895,                 1.7594,                 1.2608,             0.00027329,             0.00027329,             0.00027329
                     15,                 1.1384,                 1.8398,                 1.1839,                0.71077,                0.15826,                 0.1591,                0.09962,                 1.2994,                 1.7088,                 1.1888,              0.0002524,              0.0002524,              0.0002524
                     16,                  1.114,                 1.7672,                 1.1545,                0.71067,                0.15728,                 0.1575,                0.09976,                 1.2623,                 1.6941,                 1.1717,             0.00022601,             0.00022601,             0.00022601
                     17,                  1.121,                 1.7373,                 1.1254,                0.70918,                0.15826,                0.16149,                0.10236,                 1.2597,                 1.6599,                 1.1783,             0.00019411,             0.00019411,             0.00019411
                     18,                 1.1067,                 1.8876,                 1.1413,                 0.7088,                0.15826,                0.16145,                0.10406,                 1.2565,                 1.6259,                 1.1738,             0.00015672,             0.00015672,             0.00015672
                     19,                 1.0936,                 1.8315,                 1.1466,                0.71527,                0.15652,                0.16333,                0.10538,                 1.2512,                   1.61,                 1.1729,             0.00011383,             0.00011383,             0.00011383
                     20,                 1.1064,                 1.6839,                 1.1328,                0.71596,                0.15478,                0.16411,                0.10638,                 1.2513,                 1.5883,                 1.1771,             6.5443e-05,             6.5443e-05,             6.5443e-05
