                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2982,                 1.2639,                 1.3107,                0.65829,                0.27299,                0.21546,                0.12383,                 1.6051,                 1.7106,                 1.4425,             0.00075904,             0.00075904,             0.00075904
                     35,                 1.1766,                 1.1436,                 1.2383,                0.65341,                0.21408,                0.20679,                 0.1163,                 1.6264,                 1.8805,                 1.4932,             0.00074804,             0.00074804,             0.00074804
                     36,                 1.1731,                 1.1886,                 1.2436,                 0.6625,                0.20374,                0.20559,                0.12167,                 1.5546,                 1.8672,                 1.4759,             0.00073704,             0.00073704,             0.00073704
                     37,                 1.1377,                 1.1933,                 1.2417,                0.68221,                 0.2454,                0.20496,                0.11664,                  1.582,                 1.8904,                  1.486,             0.00072604,             0.00072604,             0.00072604
                     38,                 1.2185,                 1.1826,                 1.2884,                0.69586,                0.29569,                0.22256,                 0.1268,                 1.5733,                 1.8446,                 1.4519,             0.00071504,             0.00071504,             0.00071504
                     39,                 1.1583,                  1.154,                 1.2252,                 0.7118,                0.35115,                0.26677,                0.16372,                 1.5413,                 1.7969,                 1.4113,             0.00070404,             0.00070404,             0.00070404
                     40,                 1.1174,                 1.1383,                 1.2063,                0.68994,                0.39347,                0.27205,                0.16444,                 1.5521,                 1.6703,                 1.4148,             0.00069304,             0.00069304,             0.00069304
                     41,                 1.1273,                 1.0775,                  1.175,                0.55045,                0.28506,                0.29198,                 0.1691,                  1.537,                 1.5379,                 1.4136,             0.00068204,             0.00068204,             0.00068204
                     42,                 1.1256,                 1.1357,                 1.2014,                0.55598,                 0.3218,                0.30987,                0.18119,                 1.5561,                 1.5333,                 1.4414,             0.00067104,             0.00067104,             0.00067104
                     43,                 1.1127,                 1.1036,                 1.1798,                0.60189,                0.24303,                0.29694,                0.17403,                 1.5722,                 1.6385,                 1.4742,             0.00066005,             0.00066005,             0.00066005
                     44,                 1.0723,                 1.0626,                 1.1608,                0.67033,                0.28541,                0.30949,                0.17991,                 1.6085,                 1.7492,                 1.4947,             0.00064905,             0.00064905,             0.00064905
                     45,                 1.1048,                 1.0311,                    1.2,                0.54574,                0.24885,                0.30567,                0.17969,                 1.5943,                 1.8074,                 1.4788,             0.00063805,             0.00063805,             0.00063805
                     46,                  1.073,                 1.0208,                  1.169,                0.57885,                 0.2454,                 0.2948,                0.17158,                 1.5689,                 1.7928,                 1.4574,             0.00062705,             0.00062705,             0.00062705
                     47,                 1.1241,                 1.0883,                 1.2128,                0.55706,                0.20631,                 0.2959,                0.17528,                 1.5299,                 1.7913,                 1.4415,             0.00061605,             0.00061605,             0.00061605
                     48,                 1.0891,                 1.0232,                 1.1745,                0.81998,                0.20546,                0.29574,                0.17365,                 1.5277,                 1.7723,                 1.4282,             0.00060505,             0.00060505,             0.00060505
                     49,                 1.1099,                  1.046,                 1.1909,                0.77529,                0.22787,                 0.3062,                0.17181,                 1.5633,                 1.6425,                 1.4345,             0.00059405,             0.00059405,             0.00059405
                     50,                 1.0828,                 1.0631,                 1.1649,                0.49609,                0.24654,                0.30112,                0.16726,                 1.6023,                 1.5395,                 1.4729,             0.00058305,             0.00058305,             0.00058305
                     51,                 1.0533,                 1.0069,                 1.1531,                0.82038,                0.28161,                0.33547,                0.19246,                 1.5732,                 1.4799,                 1.4373,             0.00057205,             0.00057205,             0.00057205
