                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7141,                 3.9562,                 1.8463,                0.00535,                0.27304,                0.00796,                 0.0027,                 1.3631,                 3.8831,                 1.6716,              4.444e-05,              4.444e-05,              4.444e-05
                      2,                 1.5316,                  3.885,                 1.6625,                0.01035,                0.70196,                0.06013,                0.02506,                 1.1808,                 3.7352,                 1.4196,              9.801e-05,              9.801e-05,              9.801e-05
                      3,                 1.3508,                 3.4064,                 1.4185,                0.01465,                0.83152,                0.10593,                0.05672,                 1.1801,                 3.4781,                 1.2948,             0.00014938,             0.00014938,             0.00014938
                      4,                 1.4431,                 2.8207,                 1.4241,                0.01746,                0.84717,                 0.1193,                0.06468,                 1.1935,                 3.2741,                 1.2753,             0.00019855,             0.00019855,             0.00019855
                      5,                 1.3496,                 2.4111,                 1.3609,                0.02365,                0.88609,                0.13861,                0.07625,                 1.2526,                 2.9665,                 1.2969,             0.00024552,             0.00024552,             0.00024552
                      6,                 1.4181,                 2.3176,                 1.4187,                0.87891,                0.16522,                0.14346,                0.08187,                 1.3037,                 2.7594,                 1.2727,             0.00029029,             0.00029029,             0.00029029
                      7,                 1.3814,                 1.9477,                 1.3722,                0.91116,                0.10609,                 0.1384,                0.08616,                 1.3855,                 2.4529,                 1.2736,             0.00033286,             0.00033286,             0.00033286
                      8,                 1.3385,                 2.0556,                 1.3481,                0.91968,                0.13476,                0.15371,                0.09219,                 1.4193,                 2.2169,                 1.3136,             0.00037324,             0.00037324,             0.00037324
                      9,                 1.3179,                 1.9621,                 1.3324,                0.72517,                0.16761,                0.14926,                0.09115,                 1.3764,                 1.9991,                 1.2778,             0.00041141,             0.00041141,             0.00041141
                     10,                 1.2716,                 1.9079,                 1.2851,                0.71451,                0.16661,                0.14218,                0.08593,                 1.4473,                  2.076,                 1.3668,             0.00044738,             0.00044738,             0.00044738
                     11,                 1.2262,                 1.8541,                 1.2426,                0.69458,                  0.185,                0.14593,                0.08125,                 1.5803,                 2.0824,                 1.5011,             0.00048115,             0.00048115,             0.00048115
                     12,                 1.2054,                 1.7556,                 1.2379,                 0.7171,                0.19196,                0.16785,                0.10205,                 1.3698,                 1.8001,                   1.26,             0.00051272,             0.00051272,             0.00051272
