                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2458,                 4.3376,                 1.9145,                      0,                      0,                      0,                      0,                 1.7703,                 4.2571,                 1.6864,              3.333e-05,              3.333e-05,              3.333e-05
                      2,                 2.0028,                  4.258,                 1.7456,                 0.0009,                0.00172,                0.00046,                  5e-05,                 1.5935,                 4.1229,                 1.4442,                7.7e-05,                7.7e-05,                7.7e-05
                      3,                 1.7268,                  4.076,                 1.5431,                 0.0009,                0.00172,                0.00046,                  5e-05,                 1.5547,                 3.9766,                 1.2991,             0.00011979,             0.00011979,             0.00011979
                      4,                 1.6353,                 3.8125,                 1.4292,                0.00694,                0.01379,                0.00366,                0.00217,                 1.5265,                 3.8675,                 1.2461,              0.0001617,              0.0001617,              0.0001617
                      5,                 1.5906,                 3.4878,                  1.382,                0.05674,                0.20201,                0.04663,                0.02364,                 1.5088,                 3.7991,                 1.2543,             0.00020273,             0.00020273,             0.00020273
                      6,                 1.5556,                 3.3075,                 1.3587,                0.05917,                0.32328,                0.08062,                0.04367,                 1.5324,                 3.6915,                 1.2931,             0.00024288,             0.00024288,             0.00024288
                      7,                 1.5896,                 3.0729,                 1.3626,                0.05497,                 0.3319,                0.15918,                0.08309,                  1.561,                 3.4892,                 1.3119,             0.00028215,             0.00028215,             0.00028215
                      8,                 1.6236,                 2.7623,                 1.3295,                0.04944,                0.37184,                0.18282,                0.09903,                  1.587,                 3.2499,                 1.3266,             0.00032054,             0.00032054,             0.00032054
                      9,                 1.5994,                 2.4852,                 1.3121,                0.96486,                0.08435,                0.18514,                0.10042,                 1.6644,                 3.0361,                 1.3237,             0.00035805,             0.00035805,             0.00035805
                     10,                 1.6415,                 2.2029,                 1.3403,                0.96705,                0.10222,                0.16497,                0.08961,                 1.8115,                 3.0579,                 1.4382,             0.00039468,             0.00039468,             0.00039468
                     11,                 1.5818,                 2.0802,                 1.2598,                0.95458,                0.12586,                0.16658,                0.08857,                 1.8572,                 2.8257,                 1.3976,             0.00043043,             0.00043043,             0.00043043
                     12,                 1.6028,                 2.0593,                 1.3561,                0.42252,                0.13966,                0.19688,                0.10039,                  1.885,                 2.7423,                 1.4042,             0.00046531,             0.00046531,             0.00046531
                     13,                 1.5961,                 1.9753,                 1.2852,                0.64959,                0.12931,                 0.1801,                0.09422,                 1.9439,                 2.9933,                 1.4649,              0.0004993,              0.0004993,              0.0004993
                     14,                 1.5498,                  1.813,                  1.254,                0.40902,                0.15172,                0.19846,                0.10342,                  1.846,                 2.7442,                 1.3926,             0.00053241,             0.00053241,             0.00053241
                     15,                 1.5522,                 1.6994,                   1.27,                 0.4137,                0.17759,                 0.2051,                0.10235,                 1.7786,                 2.2974,                  1.311,             0.00056464,             0.00056464,             0.00056464
                     16,                  1.583,                 1.7997,                 1.2549,                0.66722,                0.17586,                0.20678,                0.10832,                  1.714,                   2.21,                 1.2846,             0.00059599,             0.00059599,             0.00059599
                     17,                  1.582,                 1.6899,                 1.2661,                0.68412,                0.17931,                0.21399,                 0.1151,                 1.6863,                 2.1401,                 1.2649,             0.00062646,             0.00062646,             0.00062646
                     18,                  1.604,                 1.7294,                 1.2524,                0.63757,                0.18276,                0.24215,                0.12183,                 1.7373,                 2.2229,                  1.264,             0.00065605,             0.00065605,             0.00065605
                     19,                 1.5262,                 1.5395,                 1.2225,                0.63796,                0.21063,                0.23583,                0.11093,                 1.7853,                   2.27,                 1.2793,             0.00068476,             0.00068476,             0.00068476
                     20,                 1.5474,                 1.5133,                  1.208,                 0.4012,                0.27073,                0.22043,                0.10635,                 1.8034,                 2.3705,                 1.2836,              0.0007126,              0.0007126,              0.0007126
                     21,                 1.5414,                 1.6159,                 1.2268,                0.39017,                0.22644,                0.19592,                0.09357,                 1.8241,                 2.5567,                 1.3522,             0.00073955,             0.00073955,             0.00073955
                     22,                 1.5335,                 1.5402,                 1.2343,                0.50738,                0.26723,                0.20157,                0.10553,                 1.8747,                 2.4857,                 1.3985,             0.00076562,             0.00076562,             0.00076562
                     23,                  1.581,                 1.6146,                 1.2527,                0.24276,                0.25033,                0.23238,                0.13059,                 1.7957,                  2.102,                 1.3549,             0.00079081,             0.00079081,             0.00079081
                     24,                 1.4275,                 1.4643,                 1.2052,                0.21906,                0.26504,                0.26588,                 0.1469,                 1.7396,                 1.7905,                 1.3361,             0.00081512,             0.00081512,             0.00081512
                     25,                 1.4533,                 1.4309,                 1.2486,                0.19931,                0.39373,                0.25539,                0.14176,                 1.6765,                  1.634,                 1.3299,             0.00083856,             0.00083856,             0.00083856
                     26,                 1.4503,                 1.3832,                 1.2494,                0.71688,                0.23994,                0.24963,                0.13978,                 1.5824,                  1.536,                 1.3022,             0.00083603,             0.00083603,             0.00083603
                     27,                 1.4493,                 1.2981,                 1.2367,                0.68861,                0.24511,                 0.2302,                 0.1245,                 1.5682,                 1.4924,                 1.3104,             0.00083603,             0.00083603,             0.00083603
                     28,                 1.4071,                 1.3442,                 1.2357,                0.67821,                0.25201,                0.22649,                0.11726,                 1.6145,                 1.4783,                 1.3347,             0.00082503,             0.00082503,             0.00082503
                     29,                   1.48,                  1.317,                 1.2191,                0.66679,                0.25374,                0.22339,                0.11332,                 1.6429,                 1.4676,                 1.3976,             0.00081403,             0.00081403,             0.00081403
