                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7945,                 3.9478,                 1.8876,                0.01281,                0.36408,                0.02404,                0.01153,                 1.5529,                 3.8291,                  1.712,              6.666e-05,              6.666e-05,              6.666e-05
                      2,                 1.5579,                 3.6977,                 1.6338,                0.02373,                0.58937,                0.09851,                0.04302,                 1.4439,                 3.6601,                 1.5074,               0.000143,               0.000143,               0.000143
                      3,                 1.5265,                 3.2748,                 1.5247,                 0.0304,                0.73506,                  0.131,                0.06145,                 1.4257,                 3.4709,                   1.41,              0.0002178,              0.0002178,              0.0002178
                      4,                 1.4981,                 2.6939,                 1.4447,                0.03698,                0.80776,                0.17179,                0.09328,                 1.4763,                 3.0446,                 1.3923,             0.00029106,             0.00029106,             0.00029106
                      5,                 1.5389,                 2.2457,                 1.4581,                 0.9244,                0.12729,                0.20668,                0.10483,                 1.5665,                 2.7082,                 1.4367,             0.00036278,             0.00036278,             0.00036278
                      6,                 1.4515,                 1.9349,                 1.4209,                0.90864,                0.15866,                0.23019,                 0.1134,                  1.657,                 2.3976,                 1.4432,             0.00043296,             0.00043296,             0.00043296
                      7,                 1.4734,                 1.7993,                 1.4368,                0.89521,                0.17759,                 0.2208,                 0.1138,                 1.6791,                 2.1371,                 1.4191,              0.0005016,              0.0005016,              0.0005016
                      8,                  1.477,                 1.7108,                 1.4284,                0.66623,                0.23477,                0.20784,                0.11538,                 1.6374,                 1.8647,                 1.3934,              0.0005687,              0.0005687,              0.0005687
                      9,                 1.4664,                 1.6699,                  1.416,                0.66696,                 0.2227,                0.22376,                0.11635,                 1.7559,                  2.129,                 1.5277,             0.00063427,             0.00063427,             0.00063427
                     10,                 1.4633,                 1.6629,                 1.4106,                0.68097,                0.22005,                0.27753,                0.14739,                 1.7056,                 2.2927,                 1.5156,             0.00069829,             0.00069829,             0.00069829
                     11,                 1.4228,                 1.7647,                 1.4128,                0.25116,                0.39454,                0.26255,                0.13738,                 1.6016,                 3.0249,                  1.532,             0.00076077,             0.00076077,             0.00076077
                     12,                 1.4235,                 1.7206,                 1.4248,                0.25904,                0.36146,                 0.2533,                0.13951,                 1.6055,                 2.8339,                 1.5698,             0.00082171,             0.00082171,             0.00082171
                     13,                  1.417,                 1.6871,                  1.434,                0.27589,                0.39037,                 0.2574,                0.14214,                   1.67,                 2.4305,                 1.5993,             0.00088111,             0.00088111,             0.00088111
                     14,                 1.3632,                 1.4914,                 1.3829,                0.27589,                0.39037,                 0.2574,                0.14214,                   1.67,                 2.4305,                 1.5993,             0.00093897,             0.00093897,             0.00093897
                     15,                 1.3751,                 1.4659,                 1.3761,                 0.7489,                  0.218,                0.23817,                0.12964,                 1.7084,                 2.2657,                 1.5736,             0.00095702,             0.00095702,             0.00095702
                     16,                 1.3706,                 1.4615,                 1.3668,                0.72134,                0.22615,                0.23568,                0.12578,                 1.6904,                 2.2104,                 1.4995,             0.00095702,             0.00095702,             0.00095702
                     17,                 1.4069,                 1.4387,                 1.3895,                0.66115,                0.23305,                0.21887,                0.11482,                 1.6938,                 2.1383,                 1.4816,             0.00094602,             0.00094602,             0.00094602
                     18,                 1.4421,                  1.482,                  1.419,                0.64022,                0.24511,                0.22438,                0.12058,                 1.6996,                 1.8936,                 1.4612,             0.00093502,             0.00093502,             0.00093502
                     19,                 1.3781,                 1.4171,                 1.3794,                0.93359,                0.19066,                0.22815,                0.12239,                 1.6638,                 1.7086,                 1.4468,             0.00092402,             0.00092402,             0.00092402
                     20,                 1.3816,                  1.471,                 1.3759,                0.91798,                0.19774,                0.23208,                0.13048,                 1.6068,                 1.6762,                 1.4646,             0.00091302,             0.00091302,             0.00091302
                     21,                 1.3488,                 1.4908,                 1.3765,                0.92384,                0.19679,                 0.2274,                0.12453,                 1.5776,                 1.7138,                 1.4755,             0.00090202,             0.00090202,             0.00090202
                     22,                 1.3864,                 1.4558,                 1.4082,                0.92384,                0.19679,                 0.2274,                0.12453,                 1.5776,                 1.7138,                 1.4755,             0.00089102,             0.00089102,             0.00089102
                     23,                 1.3956,                 1.4888,                 1.4157,                0.92851,                0.18512,                0.22175,                0.12176,                 1.5686,                 1.6718,                 1.4985,             0.00088002,             0.00088002,             0.00088002
                     24,                 1.3172,                  1.409,                  1.367,                0.38517,                0.34052,                0.23775,                0.13459,                 1.5494,                 1.5893,                 1.4745,             0.00086902,             0.00086902,             0.00086902
                     25,                 1.3563,                 1.4477,                 1.4038,                0.43152,                0.29195,                0.23395,                0.12924,                 1.5715,                 1.5846,                 1.4786,             0.00085803,             0.00085803,             0.00085803
